Structure Level;LvL;MatScr;MatDest;Plant;DisconType;DisconDate;Subtyp;Made From;Mat/Doc Number;DocType;Version;Description;DocPart;PTp;Formula Key;SAP Downstream;Printing Good;State;Raw Dimension 1;Raw Dimension 2;Raw Dimension 3;Raw Dimension Unit;Raw Material Amount;Raw Material Amount Unit;Raw Material Quantity;Raw Material Quantity Unit;Assembly;Pos;DisconGrp;SuccessGrp;Quantity;Quantity Unit;Reference Designator;ERP Position Text;Parent
5;;;;;;;Specifying document;;7200199051;Specifying document;AB;IC INTFC SEN TIOS1025 VSON-10;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S1200290199
4;;;;;;;Auxiliary Material;;S2200146622;;AA;SOLDER-CHOICE LEADFREE;000;L;;;;PUBLISHED;;;;;;;;;Yes;435;;;1;kg;;;S2200287739
5;;;;;;;Auxiliary Material;;S2200289657;;AA;HANDLOTDRAHT IND241 0,8MM WIRE C. 230 RC;000;L;;;;PUBLISHED;;;;;;;;;No;10;;;1;kg;;;S2200146622
6;;;;;;;Specifying document;;7000956411;Specifying document;AB;MSDS HANDLOTDRAHT IND241 0,XMM C. 230 RC;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200289657
6;;;;;;;Specifying document;;7200464652;Specifying document;AA;HS HANDLOTDRAHT IND241 0,XMM C. 230 RC;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200289657
6;;;;;;;Specifying document;;7200464857;Specifying document;AA;TD HANDLOTDRAHT IND241 0,XMM C. 230 RC;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200289657
5;;;;;;;Auxiliary Material;;S2200289656;;AA;HANDLOTDRAHT IND241 0,5MM WIRE C. 230 RC;000;L;;;;PUBLISHED;;;;;;;;;No;20;;;1;kg;;;S2200146622
6;;;;;;;Specifying document;;7000956411;Specifying document;AB;MSDS HANDLOTDRAHT IND241 0,XMM C. 230 RC;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200289656
6;;;;;;;Specifying document;;7200464652;Specifying document;AA;HS HANDLOTDRAHT IND241 0,XMM C. 230 RC;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200289656
6;;;;;;;Specifying document;;7200464857;Specifying document;AA;TD HANDLOTDRAHT IND241 0,XMM C. 230 RC;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200289656
5;;;;;;;Auxiliary Material;;S2200249243;;AA;LOETPASTE IND8.9-DP-HF-100GR SAC 305;000;L;;;;PUBLISHED;;;;;;;;;No;40;;;1;kg;;;S2200146622
