Structure Level;LvL;MatScr;MatDest;Plant;DisconType;DisconDate;Subtyp;Made From;Mat/Doc Number;DocType;Version;Description;DocPart;PTp;Formula Key;SAP Downstream;Printing Good;State;Raw Dimension 1;Raw Dimension 2;Raw Dimension 3;Raw Dimension Unit;Raw Material Amount;Raw Material Amount Unit;Raw Material Quantity;Raw Material Quantity Unit;Assembly;Pos;DisconGrp;SuccessGrp;Quantity;Quantity Unit;Reference Designator;ERP Position Text;Parent
5;;;;;;;Specifying document;;7000944013;DRW;00;CAPA 330N 10% 25V X7R CHP 0603;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200271095
4;;;;;;;Component;;S1200284655;;00;IC INTFC SEN TIOS1015 VSON-10;000;L;;;;PUBLISHED;;;;;;;;;No;;;;1;ea;;V106;0000233100
5;;;;;;;Specifying document;;7000952499;DRW;00;IC INTFC SEN TIOS1015 VSON-10;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200284655
4;;;;;;;Component;;S1200287123;;00;TRAN NPN NPN BCM847BS SOT-363;000;L;;;;PUBLISHED;;;;;;;;;No;3010;;;1;ea;V101;;S2200287739
5;;;;;;;Specifying document;;7200005871;DRW;AB;TRAN NPN NPN BCM847BS SOT-363;000;D;;true;;INWORK;;;;;;;;;;;;;;;;;S1200287123
4;;;;;;;Component;;S1200287124;;00;TRAN PNP PNP BCM857BS SOT-363;000;L;;;;PUBLISHED;;;;;;;;;No;3020;;;1;ea;V102;;S2200287739
5;;;;;;;Specifying document;;7200005938;DRW;AB;TRAN PNP PNP BCM857BS SOT-363;000;D;;true;;INWORK;;;;;;;;;;;;;;;;;S1200287124
4;;;;;;;Component;;S1200287821;;00;IC INTFC IO-LINK TIOL1125 VSON-10;000;L;;;;PUBLISHED;;;;;;;;;No;;;;1;ea;;V106;0000233100
5;;;;;;;Specifying document;;7200017747;DRW;AA;IC INTFC IO-LINK TIOL1125 VSON-10;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287821
4;;;;;;;Component;;S1200287927;;00;RES NTC 10K 1% B3380 CHP 0402;000;L;;;;PUBLISHED;;;;;;;;;No;1050;;;1;ea;R105;;S2200287739
5;;;;;;;Specifying document;;7200017193;DRW;AA;RES NTC 10K 1% B3380 CHP 0402;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287927
4;;;;;;;Component;;S1200288317;;00;DIO LED RD GN S225KRTGKT SMD 21 12 07;000;L;;;;PUBLISHED;;;;;;;;;No;3040;;;1;ea;V104;;S2200287739
5;;;;;;;Specifying document;;7200094243;DRW;AA;;000;D;;true;;RELEASED;;;;;;;;;;;;;;;;;S1200288317
4;;;;;;;Component;;S1200290199;;00;IC INTFC SEN TIOS1025 VSON-10;000;L;;;;RELEASED;;;;;;;;;No;;;;1;ea;;V106;0000233100
5;;;;;;;Specifying document;;7200199051;DRW;AB;IC INTFC SEN TIOS1025 VSON-10;000;D;;true;;RELEASED;;;;;;;;;;;;;;;;;S1200290199
4;;;;;;;Auxiliary Material;;S2200146622;;AA;SOLDER-CHOICE LEADFREE;000;L;;;;PUBLISHED;;;;;;;;;Yes;435;;;1;kg;;;S2200287739
5;;;;;;;Auxiliary Material;;S2200163608;;AA;LOETDRAHT EVASOL J3-MKR-3;000;L;;;;PUBLISHED;;;;;;;;;No;60;;;1;kg;;;S2200146622
6;;;;;;;Specifying document;;7000861940;QEP;AA;MSDS EVASOL J3-MKR-3;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200163608
6;;;;;;;Specifying document;;7200464766;QEP;AA;HS EVASOL J3-MKR-3;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200163608
6;;;;;;;Specifying document;;7200464961;QEP;AA;TD EVASOL J3-MKR-3;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200163608
5;;;;;;;Auxiliary Material;;S2200249243;;AA;LOETPASTE IND8.9-DP-HF-100GR SAC 305;000;L;;;;PUBLISHED;;;;;;;;;No;40;;;1;kg;;;S2200146622
6;;;;;;;Specifying document;;7000869166;QEP;01;MSDS LOETPASTE IND8.9 PB-FREE;000;D;;true;;RELEASED;;;;;;;;;;;;;;;;;S2200249243
6;;;;;;;Specifying document;;7200464593;QEP;AA;TD LOETPASTE IND8.9 HF PB-FREE;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200249243
6;;;;;;;Specifying document;;7200465069;QEP;AA;HS LOETPASTE IND8.9 HF PB-FREE;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200249243
5;;;;;;;Auxiliary Material;;S2200254089;;AA;LOETPASTE IND8.9-SP-HF-700GR SAC 305;000;L;;;;PUBLISHED;;;;;;;;;No;50;;;1;kg;;;S2200146622
6;;;;;;;Specifying document;;7000869166;QEP;01;MSDS LOETPASTE IND8.9 PB-FREE;000;D;;true;;RELEASED;;;;;;;;;;;;;;;;;S2200254089
6;;;;;;;Specifying document;;7200464593;QEP;AA;TD LOETPASTE IND8.9 HF PB-FREE;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200254089
6;;;;;;;Specifying document;;7200464864;QEP;AA;HS LOETPASTE IND8.9 PB-FREE;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200254089
